ResortName,PassAffiliation,Latitude,Longitude
Black River Basin at Snowriver Mountain Resort,Indy,46.5047684,-89.9975729
Swiss Valley,Indy,41.9546966,-85.8273391
The Highlands Ski Resort,Ikon,45.4647239,-84.926535
Timber Ridge Ski Area,,42.3915135,-85.7809495
Tower Mountain,,43.1775314,-85.2527987
Treetops,Indy,45.0352935,-84.5915145
Afton Alps,Epic,44.8576608,-92.7878062
Andes Tower Hills,Indy,45.850975,-95.6304971
Buck Hill,Indy,44.7231319,-93.287252
Buena Vista,,38.8422178,-106.1311288
Chester Bowl,,46.8135265,-92.0959804
Cloquet Nordic Ski Club,,46.7217735,-92.4611825
Coffee Mill Ski Area, Minnesota,44.3636111,-92.0433333
Como,,45.8063817,9.0851867
Detroit Mountain,Indy,46.8162218,-95.7835195
Elm Creek,,49.675556,-97.9925
Giants Ridge,,47.5765197,-92.3031692
Hyland Hills,,44.84363,-93.363611
Lutsen Mountains,Indy,47.663713,-90.7135557
Mt. Itasca Winter Sports Center,,47.2855488,-93.4475163
Mount Kato,Indy,44.1331301,-94.0333662
Mount Ski Gull,,46.4475939,-94.3779586
Powder Ridge,Indy,45.343693,-94.305315
Spirit Mountain Ski Area,Indy,46.7182684,-92.2167365
Steeplechase Ski,Freedom,46.729553,-94.6858998
Welch Village,,44.5683003,-92.7385321
Wild Mountain,,45.49,-92.71
Hidden Valley,Epic,38.5353168,-90.6506898
Snow Creek Mountain Resort,Epic,39.4673048,-94.9707416
Bear Paw Ski Bowl,,48.1649918,-109.6701448
Bear Canyon,,32.3216929,-110.8101999
Big Sky,"Ikon, Mountain Collective",45.2617806,-111.3080244
Blacktail Mountain Ski Area,"Indy, Powder Alliance",48.0148365,-114.3695668
Bridger Bowl,,45.8173562,-110.8966184
Discovery Ski Area,,46.2496035,-113.238433
Great Divide,,46.753073,-112.313478
Lost Trail ,"Indy, Powder Alliance",45.6922649,-113.9520679
Maverick Mountain,,45.4339155,-113.128581
Montana Snowbowl,Indy,47.014436,-113.999568
Red Lodge,Indy,45.1857782,-109.2468211
Showdown Mountain,,46.8385386,-110.7078618
Teton Pass,,43.4974247,-110.9552144
Turner Mountain Ski Area,,48.6049563,-115.6308061
Whitefish,,48.4106373,-114.3352652
Yellowstone Club,,45.2458036,-111.3745324
Diamond Peak,,39.2536805,-119.92381
Elko Snobowl,,40.8324211,-115.7631232
Lee Canyon,Power,36.3037018,-115.6796327
Mt. Rose,,39.3437237,-119.9171448
Sky Tavern,,39.336911,-119.872522
Abenaki (Wolfboro),,43.5852069,-71.2094799
Arrowhead Recereation Area,,43.3632798,-72.3330939
Attitash,Epic,44.082771,-71.229443
Black Mountain,Indy,44.17,-71.16
Bretton Woods,,44.2582949,-71.4433295
Campton,,43.8224604,-71.6440615
Cannon Mountain Ski Area,Indy,44.1564536,-71.6984172
Clancy (Cardigan Mtn School),,43.6756046,-72.0403404
Cranmore Mountain Resort,Uphill New England,44.0564777,-71.1101239
